feature,importance
v_dpc_KM,0.0
v_dpc_KN,0.0
v_dpc_KP,0.0
v_dpc_KQ,0.0
v_dpc_KT,0.0
v_dpc_KV,0.0
v_dpc_KW,0.0
v_dpc_KY,0.0
v_dpc_LA,0.0
v_dpc_LC,0.0
v_dpc_LD,0.0
v_dpc_LE,0.0
v_dpc_LF,0.0
v_dpc_LG,0.0
v_dpc_LH,0.0
v_dpc_LI,0.0
v_dpc_LL,0.0
v_dpc_LM,0.0
v_dpc_LN,0.0
v_dpc_LP,0.0
v_dpc_LR,0.0
v_dpc_LS,0.0
v_dpc_LT,0.0
v_dpc_LV,0.0
v_dpc_LW,0.0
v_dpc_LY,0.0
v_dpc_MA,0.0
v_dpc_MC,0.0
v_dpc_MD,0.0
v_dpc_MF,0.0
v_dpc_MG,0.0
v_dpc_MH,0.0
v_dpc_MI,0.0
v_dpc_MK,0.0
v_dpc_ML,0.0
v_dpc_MM,0.0
v_dpc_MN,0.0
v_dpc_MP,0.0
v_dpc_MQ,0.0
v_dpc_MR,0.0
v_dpc_MS,0.0
v_dpc_MT,0.0
v_dpc_MV,0.0
v_dpc_MW,0.0
v_dpc_MY,0.0
v_dpc_NA,0.0
v_dpc_NC,0.0
v_dpc_ND,0.0
v_dpc_NF,0.0
v_dpc_NG,0.0
v_dpc_NH,0.0
v_dpc_NI,0.0
v_dpc_NK,0.0
v_dpc_NM,0.0
v_dpc_NN,0.0
v_dpc_NP,0.0
v_dpc_NQ,0.0
v_dpc_NR,0.0
v_dpc_NS,0.0
v_dpc_NT,0.0
v_dpc_NV,0.0
v_dpc_NW,0.0
v_dpc_NY,0.0
v_dpc_PA,0.0
v_dpc_PC,0.0
v_dpc_PD,0.0
v_dpc_PE,0.0
v_dpc_PF,0.0
v_dpc_PH,0.0
v_dpc_PI,0.0
v_dpc_PK,0.0
v_dpc_PL,0.0
v_dpc_PM,0.0
v_dpc_PN,0.0
v_dpc_PP,0.0
v_dpc_PQ,0.0
v_dpc_PR,0.0
v_dpc_PS,0.0
v_dpc_PT,0.0
v_dpc_PV,0.0
v_dpc_PW,0.0
v_dpc_PY,0.0
v_dpc_QA,0.0
v_dpc_QC,0.0
v_dpc_QD,0.0
v_dpc_QE,0.0
v_dpc_QF,0.0
v_dpc_QG,0.0
v_dpc_QH,0.0
v_dpc_QI,0.0
v_dpc_QK,0.0
v_dpc_QL,0.0
v_dpc_QM,0.0
v_dpc_QN,0.0
v_dpc_QP,0.0
v_dpc_QQ,0.0
v_dpc_QR,0.0
v_dpc_QS,0.0
v_dpc_QT,0.0
v_dpc_QW,0.0
v_dpc_QY,0.0
v_dpc_RA,0.0
v_dpc_RC,0.0
v_dpc_RD,0.0
v_dpc_RE,0.0
v_dpc_RF,0.0
v_dpc_RG,0.0
v_dpc_RH,0.0
v_dpc_RI,0.0
v_dpc_RK,0.0
v_dpc_RL,0.0
v_dpc_RM,0.0
v_dpc_RN,0.0
v_dpc_RP,0.0
v_dpc_RQ,0.0
v_dpc_RR,0.0
v_dpc_RS,0.0
v_dpc_RT,0.0
v_dpc_RV,0.0
v_dpc_RW,0.0
v_dpc_RY,0.0
v_dpc_SA,0.0
v_dpc_SC,0.0
v_dpc_SD,0.0
v_dpc_SE,0.0
v_dpc_SF,0.0
v_dpc_SG,0.0
v_dpc_SH,0.0
v_dpc_SI,0.0
v_dpc_SK,0.0
v_dpc_SL,0.0
v_dpc_SM,0.0
v_dpc_SN,0.0
v_dpc_SP,0.0
v_dpc_SQ,0.0
v_dpc_SR,0.0
v_dpc_SS,0.0
v_dpc_ST,0.0
v_dpc_SV,0.0
v_dpc_SW,0.0
v_dpc_SY,0.0
v_dpc_TA,0.0
v_dpc_TC,0.0
v_dpc_TD,0.0
v_dpc_TE,0.0
v_dpc_TF,0.0
v_dpc_TG,0.0
v_dpc_TH,0.0
v_dpc_TI,0.0
v_dpc_TK,0.0
v_dpc_TL,0.0
v_dpc_TM,0.0
v_dpc_TN,0.0
v_dpc_TP,0.0
v_dpc_TQ,0.0
v_dpc_AR,0.0
v_dpc_AS,0.0
v_dpc_AT,0.0
v_dpc_AV,0.0
v_dpc_AY,0.0
v_dpc_CA,0.0
v_dpc_CC,0.0
v_dpc_CD,0.0
v_dpc_CE,0.0
v_dpc_CF,0.0
v_dpc_CI,0.0
v_dpc_CK,0.0
v_dpc_CL,0.0
v_dpc_TR,0.0
v_dpc_TS,0.0
v_dpc_TT,0.0
v_dpc_TV,0.0
v_dpc_TW,0.0
v_dpc_TY,0.0
v_dpc_VC,0.0
v_dpc_VD,0.0
v_dpc_VE,0.0
v_dpc_VF,0.0
v_dpc_VG,0.0
v_dpc_VH,0.0
v_dpc_VI,0.0
v_dpc_VK,0.0
v_dpc_VL,0.0
v_dpc_VM,0.0
v_dpc_VN,0.0
v_dpc_VP,0.0
v_dpc_VQ,0.0
v_dpc_VR,0.0
v_dpc_VS,0.0
v_dpc_VT,0.0
v_dpc_VV,0.0
v_dpc_VW,0.0
v_dpc_VY,0.0
v_dpc_EM,0.0
v_dpc_EN,0.0
v_dpc_EP,0.0
v_dpc_EQ,0.0
v_dpc_ER,0.0
v_dpc_ET,0.0
v_dpc_EW,0.0
v_dpc_EY,0.0
v_dpc_FA,0.0
v_dpc_FC,0.0
v_dpc_FD,0.0
v_dpc_FE,0.0
v_dpc_FF,0.0
v_dpc_WA,0.0
v_dpc_WC,0.0
v_dpc_WD,0.0
v_dpc_WE,0.0
v_dpc_WG,0.0
v_dpc_WH,0.0
v_dpc_WI,0.0
v_dpc_WK,0.0
v_dpc_WL,0.0
v_dpc_WM,0.0
v_dpc_WN,0.0
v_dpc_WP,0.0
v_dpc_WQ,0.0
v_dpc_WR,0.0
v_dpc_WS,0.0
v_dpc_WT,0.0
v_dpc_WV,0.0
v_dpc_WW,0.0
v_dpc_WY,0.0
v_dpc_YA,0.0
v_dpc_YC,0.0
v_dpc_YD,0.0
v_dpc_YE,0.0
v_dpc_YF,0.0
v_dpc_YG,0.0
v_dpc_YH,0.0
v_dpc_YI,0.0
v_dpc_YK,0.0
v_dpc_YL,0.0
v_dpc_YM,0.0
v_dpc_YN,0.0
v_dpc_YP,0.0
v_dpc_YQ,0.0
v_dpc_YR,0.0
v_dpc_YS,0.0
v_dpc_YT,0.0
v_dpc_YV,0.0
